;numberLikesCategory;amount_relevant_tags;moving_avg;descriptionProcessed;numberPosts;numberFollowers;numberFollowing;website_available;path;weekday_Friday;weekday_Monday;weekday_Saturday;weekday_Sunday;weekday_Thursday;weekday_Tuesday;weekday_Wednesday
0;10;0;121036.4;Missing much island think beautiful Caribbean trying find new destination cool Aruba flamingos get cool picture NEW HOAKA DESIGN coming around weeks   hoakaswimwear   ps see hidden flamingo  ;554;990729;266;1;pictures/elisabeth.rioux/3.jpg;0;1;0;0;0;0;0
1;10;0;123242.8;Small nose small cheeks big lips big eyes fleek eyebrows perfect teeth long eyelashes strong jawline things people looking instagram things girls want beauty standards moment used look hope caracteristics probably still wanted make realise something realised big cheeks Claudia tihan doesnt perfect smile savannah montano big nose alexis ren doesnt perfect eyebrows ariana grande small eyes etc etc could name many girls like see insults dont understand trying say want realise girls include look perfect probably even dont caracteristics cant thing girls CONFIDENCE Confidence key getting caracteristic wont make beautiful confident trust   read something girl instagram yesterday recognize made think realized one thinking like made realize worth want realize  ;554;990729;266;1;pictures/elisabeth.rioux/4.jpg;0;0;0;0;0;1;0
2;10;0;118454.8;Current situation nothing picture   landed Canada Jonathan still india suppose leave days thing got passport Canada   Anyone flying mumbai tonight tomorrow montreal   want come Brazil bad;554;990729;266;1;pictures/elisabeth.rioux/6.jpg;0;0;0;1;0;0;0
3;10;0;114961.0;Mood  ;554;990729;266;1;pictures/elisabeth.rioux/7.jpg;0;0;0;0;1;0;0
4;10;0;121763.6;would mention k k   Thank k    really expecting get cant believe k Ill dont know thank thank gold following adventure lovely boyfriend also business passion hoakaswimwear   Im happy use popularity dont like talk like   make girls better skin also spead happinest motivation   ;554;990729;266;1;pictures/elisabeth.rioux/9.jpg;0;0;0;0;0;0;1
5;10;0;130725.0;little baby   name Royce siberian husky month think mixed malamute sure Royce place really legit told us vaccinated dewormed believed since didnt know anything dogs first one day didnt take since getting new condo may friend taught vaccinated dewormed health book guy like doesnt vaccine called vet said impossible would possible vet still would health book asked many questions guy place staying really dirty small appartment guy NEVER answered questions also lied us see complete history next vlogs couldnt believe sad caus beautiful baby puppy dont get vaccine dewormed literally die suffer alot didnt want people like us doesnt know anything adopt never warned Royce would suffer also might bring diseases animals went directly take brought parents house accepted new house parents jonathan may   lovely family also little sister brother dont know yet   family starts hope sad baby anyway sad looking Royce   living life steps steps need finish university human baby little baby happy parents  ;554;990729;266;1;pictures/elisabeth.rioux/11.jpg;0;0;0;1;0;0;0
6;10;0;70003.8;Going watch Beauty Beast tonight    Hoping worth hype guys watched already   beautyandthebeast leuchtturm Meanwhile started new sketchbook ink pens redraw doodle old time;776;927457;566;1;pictures/_picolo/0.jpg;1;0;0;0;0;0;0
7;10;0;66174.4;Im telling isnt one following time     raven teentitans • Im releasing jacketsweatshirt design July guys Preorders coming soon ☆ would like know many would like get one  ;776;927457;566;1;pictures/_picolo/1.jpg;0;0;0;1;0;0;0
8;10;1;101370.2;Icarus Sun might turning comic book yet year info soon   icarusandthesun throwback;776;927457;566;1;pictures/_picolo/2.jpg;1;0;0;0;0;0;0
9;10;0;87820.4;Gorillaz back Noodle grown    gorillaz noodle HUMANZ Ive listening Saturnz Barz loop since came cant wait drop new record • Ps theres official noodle account Ill casually tag post;776;927457;566;1;pictures/_picolo/3.jpg;0;1;0;0;0;0;0
10;10;0;85671.8;love shoes hes got pair everyone       wore better beastboy teentitans doodles;776;927457;566;1;pictures/_picolo/4.jpg;0;0;0;0;0;0;1
11;10;0;92618.4;Casual Beast Boy warm ups   Im trying get hang dynamic poses one prefer teentitans beastboy;776;927457;566;1;pictures/_picolo/5.jpg;1;0;0;0;0;0;0
12;10;0;81232.0; Dark sides  teentitans doodles Drawing villains half villains teen titans name;776;927457;566;1;pictures/_picolo/7.jpg;0;1;0;0;0;0;0
13;10;0;34591.4;Bridal robe mandmatelier Makeup marlenehariman Adat Paes Jogja Putri taridonolobo;411;963746;748;1;pictures/cacatengker/0.jpg;0;0;0;0;0;0;1
14;10;0;42904.8;still cant get best night lives  fromtengkertotamin;411;963746;748;1;pictures/cacatengker/1.jpg;0;1;0;0;0;0;0
15;10;0;42904.8;pretty bridal robe mandmatelier  ;411;963746;748;1;pictures/cacatengker/2.jpg;0;1;0;0;0;0;0
16;10;0;34591.4;sweetest designer ever   thank Kakak barliasmara  ;411;963746;748;1;pictures/cacatengker/3.jpg;0;0;0;0;0;0;1
17;10;0;34591.4;Wedding Organizer Team   thank missyita whole amayawedding crews   ebimoektidecor    :man’s_shoe: barliasmara   marlenehariman   cndindonesia     deoentertainment;411;963746;748;1;pictures/cacatengker/4.jpg;0;0;0;0;0;0;1
18;10;0;34591.4;talented performers deoentertainment   Thank   ebimoektidecor    :man’s_shoe: barliasmara   marlenehariman   cndindonesia     deoentertainment;411;963746;748;1;pictures/cacatengker/5.jpg;0;0;0;0;0;0;1
19;10;0;77128.2;  icanteachyou hace fotos guays  ;1230;915613;604;1;pictures/meeeeeeeel_/0.jpg;0;0;0;0;0;1;0
20;10;0;63939.0;see soon cancun   ;1230;915613;604;1;pictures/meeeeeeeel_/1.jpg;0;0;0;0;1;0;0
