,alias,multipleImage,weekday,numberLikesCategory,amount_relevant_tags,moving_avg,numberPosts,numberFollowers,numberFollowing,website_available
0,elisabeth.rioux,False,Saturday,10,0,119771.0,554,990729,266,1
1,elisabeth.rioux,False,Wednesday,10,0,111266.4,554,990729,266,1
2,elisabeth.rioux,False,Monday,10,0,116196.8,554,990729,266,1
3,elisabeth.rioux,False,Monday,10,0,121036.4,554,990729,266,1
4,elisabeth.rioux,False,Tuesday,10,0,123242.8,554,990729,266,1
5,elisabeth.rioux,False,Tuesday,10,0,120882.2,554,990729,266,1
7,elisabeth.rioux,False,Sunday,10,0,118454.8,554,990729,266,1
8,elisabeth.rioux,False,Thursday,10,0,114961.0,554,990729,266,1
9,elisabeth.rioux,False,Saturday,10,0,117801.4,554,990729,266,1
10,elisabeth.rioux,False,Wednesday,10,0,121763.6,554,990729,266,1
14,elisabeth.rioux,False,Wednesday,10,0,122861.8,554,990729,266,1
15,elisabeth.rioux,False,Sunday,10,0,130725.0,554,990729,266,1
17,_picolo,False,Friday,10,0,70003.8,776,927457,566,1
19,_picolo,False,Sunday,10,0,66174.4,776,927457,566,1
20,_picolo,False,Friday,10,1,101370.2,776,927457,566,1
21,_picolo,False,Monday,10,0,87820.4,776,927457,566,1
22,_picolo,False,Wednesday,10,0,85671.8,776,927457,566,1
23,_picolo,False,Friday,10,0,92618.4,776,927457,566,1
26,_picolo,False,Thursday,10,0,97002.2,776,927457,566,1
28,_picolo,False,Monday,10,0,81232.0,776,927457,566,1
29,_picolo,True,Tuesday,10,0,74108.6,776,927457,566,1
30,_picolo,False,Sunday,10,0,99751.2,776,927457,566,1
31,_picolo,False,Friday,10,0,71102.0,776,927457,566,1
33,_picolo,True,Sunday,10,0,84663.2,776,927457,566,1
38,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
39,cacatengker,False,Monday,10,0,42904.8,411,963746,748,1
40,cacatengker,False,Monday,10,0,42904.8,411,963746,748,1
41,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
42,cacatengker,True,Sunday,10,0,71916.0,411,963746,748,1
44,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
45,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
46,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
47,cacatengker,True,Sunday,10,0,71916.0,411,963746,748,1
48,cacatengker,True,Sunday,10,0,71916.0,411,963746,748,1
49,cacatengker,False,Wednesday,10,0,34591.4,411,963746,748,1
50,cacatengker,False,Monday,9,0,42904.8,411,963746,748,1
52,meeeeeeeel_,False,Tuesday,10,0,77128.2,1230,915613,604,1
55,meeeeeeeel_,False,Thursday,10,0,63939.0,1230,915613,604,1
56,meeeeeeeel_,False,Monday,10,0,75445.0,1230,915613,604,1
58,meeeeeeeel_,False,Wednesday,10,0,77448.8,1230,915613,604,1
59,meeeeeeeel_,False,Friday,10,0,75818.0,1230,915613,604,1
60,meeeeeeeel_,False,Tuesday,10,0,67040.0,1230,915613,604,1
61,meeeeeeeel_,False,Wednesday,10,0,64622.6,1230,915613,604,1
62,meeeeeeeel_,False,Friday,10,0,64690.4,1230,915613,604,1
63,meeeeeeeel_,False,Saturday,10,0,66720.0,1230,915613,604,1
65,meeeeeeeel_,False,Sunday,10,0,68094.8,1230,915613,604,1
66,meeeeeeeel_,False,Monday,10,0,69824.4,1230,915613,604,1
67,meeeeeeeel_,False,Sunday,10,0,73118.4,1230,915613,604,1
68,jonanwiergo,False,Thursday,10,0,67282.6,741,374230,277,1
70,jonanwiergo,False,Sunday,10,0,64710.8,741,374230,277,1
71,jonanwiergo,False,Monday,10,0,69116.2,741,374230,277,1
72,jonanwiergo,False,Thursday,10,0,61217.8,741,374230,277,1
74,jonanwiergo,False,Friday,10,0,63974.8,741,374230,277,1
75,jonanwiergo,False,Wednesday,10,0,67301.4,741,374230,277,1
76,jonanwiergo,False,Tuesday,10,0,70123.6,741,374230,277,1
77,jonanwiergo,False,Saturday,10,0,65392.2,741,374230,277,1
79,jonanwiergo,False,Friday,10,0,61883.2,741,374230,277,1
81,jonanwiergo,False,Wednesday,10,0,62530.2,741,374230,277,1
82,jonanwiergo,False,Sunday,10,0,65840.6,741,374230,277,1
84,jonanwiergo,False,Saturday,10,0,70273.2,741,374230,277,1
86,xserrano9,False,Saturday,10,0,37007.2,1625,578979,569,1
87,xserrano9,False,Tuesday,10,0,29253.6,1625,578979,569,1
92,xserrano9,False,Wednesday,10,0,33963.8,1625,578979,569,1
93,xserrano9,False,Sunday,10,0,42472.4,1625,578979,569,1
95,xserrano9,False,Friday,10,0,50905.8,1625,578979,569,1
96,xserrano9,False,Monday,10,0,32736.0,1625,578979,569,1
97,xserrano9,False,Sunday,10,0,38887.0,1625,578979,569,1
98,xserrano9,False,Saturday,10,0,46661.0,1625,578979,569,1
99,xserrano9,False,Thursday,10,0,35564.2,1625,578979,569,1
100,xserrano9,False,Sunday,10,0,38887.0,1625,578979,569,1
101,xserrano9,False,Sunday,9,0,42472.4,1625,578979,569,1
102,aaronsanimals,False,Friday,10,0,45110.0,114,629547,166,1
104,aaronsanimals,False,Friday,10,0,51174.8,114,629547,166,1
106,aaronsanimals,False,Monday,10,0,52561.6,114,629547,166,1
107,aaronsanimals,False,Wednesday,10,0,50776.6,114,629547,166,1
108,aaronsanimals,False,Monday,10,0,49878.2,114,629547,166,1
110,aaronsanimals,False,Tuesday,10,0,37413.4,114,629547,166,1
112,aaronsanimals,False,Saturday,10,0,51699.8,114,629547,166,1
113,aaronsanimals,False,Monday,10,0,39257.6,114,629547,166,1
114,aaronsanimals,False,Saturday,10,0,37031.0,114,629547,166,1
115,aaronsanimals,False,Sunday,10,0,45932.8,114,629547,166,1
116,aaronsanimals,False,Tuesday,10,0,35273.6,114,629547,166,1
118,aaronsanimals,False,Friday,10,0,44959.2,114,629547,166,1
119,changmakeup,False,Wednesday,10,0,42614.0,1298,605348,426,1
120,changmakeup,False,Tuesday,10,0,47203.0,1298,605348,426,1
121,changmakeup,False,Friday,10,0,45288.2,1298,605348,426,1
123,changmakeup,False,Wednesday,10,0,45982.6,1298,605348,426,1
124,changmakeup,False,Thursday,10,0,45689.8,1298,605348,426,1
125,changmakeup,False,Thursday,10,0,39652.0,1298,605348,426,1
127,changmakeup,False,Tuesday,10,0,45228.0,1298,605348,426,1
131,changmakeup,False,Thursday,10,0,44858.4,1298,605348,426,1
132,changmakeup,False,Tuesday,10,2,47203.0,1298,605348,426,1
133,changmakeup,False,Sunday,10,0,47624.8,1298,605348,426,1
134,changmakeup,False,Tuesday,10,0,44065.2,1298,605348,426,1
135,changmakeup,False,Monday,10,0,52785.4,1298,605348,426,1
136,khivju,False,Thursday,10,0,24116.8,144,652689,327,0
137,khivju,False,Tuesday,10,0,17520.4,144,652689,327,0
140,khivju,False,Monday,10,0,21509.8,144,652689,327,0
141,khivju,False,Tuesday,10,0,33834.8,144,652689,327,0
143,khivju,False,Sunday,10,0,22515.8,144,652689,327,0
146,khivju,False,Wednesday,10,0,21601.8,144,652689,327,0
147,khivju,False,Monday,10,0,24708.4,144,652689,327,0
148,khivju,False,Friday,9,3,33009.6,144,652689,327,0
149,khivju,False,Saturday,9,0,29527.2,144,652689,327,0
150,khivju,False,Monday,9,0,21509.8,144,652689,327,0
151,khivju,False,Wednesday,9,0,27504.0,144,652689,327,0
152,khivju,False,Friday,5,0,25940.8,144,652689,327,0
154,jaydepierce,False,Sunday,10,0,31472.0,817,937638,225,1
155,jaydepierce,False,Saturday,10,0,27035.4,817,937638,225,1
158,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
159,jaydepierce,False,Sunday,10,0,30384.2,817,937638,225,1
160,jaydepierce,False,Monday,10,0,36418.0,817,937638,225,1
161,jaydepierce,False,Wednesday,10,0,26326.2,817,937638,225,1
163,jaydepierce,False,Wednesday,10,0,26326.2,817,937638,225,1
164,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
165,jaydepierce,False,Friday,10,0,30806.8,817,937638,225,1
166,jaydepierce,False,Saturday,10,0,34379.0,817,937638,225,1
167,jaydepierce,False,Sunday,9,0,31472.0,817,937638,225,1
169,jaydepierce,False,Tuesday,8,0,30147.4,817,937638,225,1
171,tonnyboom,False,Thursday,10,0,11802.0,1395,763498,627,1
172,tonnyboom,False,Wednesday,10,0,27724.6,1395,763498,627,1
173,tonnyboom,False,Monday,10,0,23815.6,1395,763498,627,1
174,tonnyboom,False,Saturday,10,0,22206.2,1395,763498,627,1
177,tonnyboom,False,Sunday,10,0,17146.2,1395,763498,627,1
178,tonnyboom,False,Tuesday,9,0,19134.0,1395,763498,627,1
179,tonnyboom,False,Friday,9,0,15905.6,1395,763498,627,1
181,tonnyboom,False,Saturday,9,0,21925.8,1395,763498,627,1
182,tonnyboom,False,Saturday,8,0,28423.2,1395,763498,627,1
183,tonnyboom,True,Sunday,8,0,27283.6,1395,763498,627,1
